EVENT_TYPE,TOKEN,QUERY_RELATIVE_POSITION,TOTAL_QUERY_COUNT,TOKEN_RATIO_BEFORE_AFTER_EVENT
Tornado,weather,Before,1410707,0.165928498075194
Tornado,weather,After,1348093,0.166725474154696
Tornado,cold,Before,157201,0.018490108736909
Tornado,hurricane,After,135325,0.016736326640658
Tornado,cold,After,134251,0.016603499632994
Tornado,hurricane,Before,131922,0.015516772315637
Tornado,coldwell,Before,113014,0.013292798066126
Tornado,snow,Before,109789,0.012913470958305
Tornado,coldwell,After,106529,0.013174979794588
Tornado,storm,Before,103757,0.012203982240669
Tornado,storm,After,101962,0.012610155824384
Tornado,snow,After,96405,0.011922893551026
Tornado,channel,After,95676,0.011832734436886
Tornado,banker,Before,93485,0.010995781294457
Tornado,banker,After,90159,0.011150419165676
Tornado,channel,Before,89815,0.010564112926797
Tornado,forecast,Before,88834,0.010448726913535
Tornado,forecast,After,84317,0.010427909502016
Tornado,thunder,Before,82839,0.009743590165818
Tornado,thunder,After,79332,0.009811389359369
Tornado,temperature,Before,78914,0.009281928491959
Tornado,rainbow,Before,72585,0.008537506394161
Tornado,temperature,After,69356,0.008577607023754
Tornado,national,Before,66414,0.007811668384127
Tornado,rainbow,After,65728,0.008128913928965
Tornado,national,After,60289,0.007456245311942
Tornado,tornado,After,50900,0.006295060232843
Tornado,service,Before,49051,0.005769418283943
Tornado,frost,Before,45296,0.00532775214755
Tornado,thailand,After,44702,0.00552852225007
Tornado,service,After,44406,0.005491914434177
Tornado,thailand,Before,42329,0.004978771208355
Tornado,accuweather,Before,41842,0.004921489874554
Tornado,lyrics,Before,41692,0.00490384675326
Tornado,frost,After,41116,0.005085023507536
Tornado,tornado,Before,40279,0.004737648550671
Tornado,new,Before,40186,0.004726709815468
Tornado,new,After,39866,0.004930429690423
Tornado,lyrics,After,39376,0.004869828914114
Tornado,accuweather,After,37283,0.00461097702674
Tornado,rain,After,37116,0.004590323292774
Tornado,climate,Before,34444,0.004051331132334
Tornado,day,Before,32720,0.003848552858262
Tornado,rain,Before,32717,0.003848199995836
Tornado,day,After,31530,0.003899474442859
Tornado,climate,After,30157,0.003729668594142
Tornado,florida,Before,29557,0.003476518240576
Tornado,katrina,Before,28709,0.003376775794861
Tornado,lightning,Before,27868,0.003277856694806
Tornado,florida,After,26668,0.003298166331816
Tornado,hurricanes,After,26291,0.003251540836575
Tornado,hurricanes,Before,26245,0.003086958122405
Tornado,lightning,After,26212,0.003241770507334
Tornado,beach,Before,26160,0.003076960353672
Tornado,beach,After,25309,0.003130091933851
Tornado,katrina,After,25073,0.00310090462118
Tornado,creek,Before,24930,0.002932286759061
Tornado,thunderbird,Before,24454,0.002876299254155
Tornado,city,Before,24174,0.002843365427739
Tornado,city,After,24165,0.002988607672429
Tornado,center,Before,24006,0.00282360513189
Tornado,tornadoes,After,23969,0.002964367361906
Tornado,underground,Before,23967,0.002819017920354
Tornado,creek,After,22783,0.002817688748229
Tornado,underground,After,22708,0.002808413119202
Tornado,texas,Before,22431,0.002638352358303
Tornado,texas,After,22213,0.002747193967626
Tornado,coldwater,Before,21922,0.002578483366712
Tornado,york,After,21748,0.00268968506766
Tornado,robert,Before,21626,0.002543667607359
Tornado,robert,After,21377,0.00264380162274
Tornado,thunderbird,After,20861,0.002579985295036
Tornado,water,Before,20828,0.002449806202075
Tornado,sunny,Before,20800,0.002446512819433
Tornado,coldwater,After,20435,0.002527299722164
Tornado,center,After,20148,0.002491804981755
Tornado,wind,Before,19938,0.002345123682397
Tornado,snowmobile,Before,19741,0.002321952383098
Tornado,war,After,19341,0.002391999213427
Tornado,san,Before,19281,0.002267846811129
Tornado,york,Before,19025,0.002237735884121
Tornado,war,Before,18855,0.002217740346654
Tornado,vegas,Before,18786,0.002209624510859
Tornado,pictures,After,18727,0.002316062730461
Tornado,sunny,After,18536,0.002292440795206
Tornado,coldplay,Before,18451,0.002170221539969
Tornado,rainforest,Before,18441,0.002169045331883
Tornado,rainforest,After,18179,0.002248288801038
Tornado,coldplay,After,18063,0.00223394249481
Tornado,fog,Before,17804,0.002094120876788
Tornado,wind,After,17310,0.002140815179381
Tornado,ion,Before,17195,0.002022489804334
Tornado,san,After,17184,0.002125232122616
Tornado,water,After,17151,0.002121150845845
Tornado,vegas,After,17116,0.002116822218965
Tornado,report,After,16897,0.002089737382207
Tornado,report,Before,16843,0.001981087279698
Tornado,california,Before,16607,0.001953328768862
Tornado,prediction,Before,16407,0.001929804607137
Tornado,snowmobile,After,16331,0.002019737301818
Tornado,lake,Before,16115,0.001895459331018
Tornado,radar,After,16017,0.00198090333496
Tornado,pictures,Before,15831,0.001862055021368
Tornado,frosting,Before,15644,0.001840059930154
Tornado,air,Before,15564,0.001830650265464
Tornado,temperatures,After,15326,0.00189544387286
Tornado,hail,After,15020,0.00185759930643
Tornado,radar,Before,14808,0.001741728934143
Tornado,hawaii,Before,14781,0.00173855317231
Tornado,fog,After,14687,0.001816415513551
Tornado,frosting,After,14632,0.001809613385598
Tornado,ion,After,14566,0.001801450832055
Tornado,california,After,14414,0.001782652223894
Tornado,snowboard,After,14409,0.001782033848625
Tornado,lake,After,14380,0.001778447272068
Tornado,temperatures,Before,14261,0.001677390351824
Tornado,prediction,After,14261,0.001763729940679
Tornado,tornadoes,Before,13930,0.001638457864168
Tornado,mexico,Before,13825,0.001626107679263
Tornado,stone,Before,13695,0.001610816974141
Tornado,storms,After,13009,0.001608888773459
Tornado,atmosphere,Before,12881,0.001515073635919
Tornado,air,After,12866,0.001591203240781
Tornado,hail,Before,12753,0.001500018172415
Tornado,stone,After,12559,0.001553234999298
Tornado,carowinds,After,12547,0.001551750898654
Tornado,ford,Before,12545,0.001475553044221
Tornado,storms,Before,12173,0.001431798103412
Tornado,hawaii,After,11944,0.001477174841279
Tornado,yahoo,After,11930,0.001475443390527
Tornado,forcast,Before,11837,0.001392277511713
Tornado,world,Before,11785,0.001386161229664
Tornado,weatherchannel,After,11634,0.001438835574634
Tornado,tornados,After,11632,0.001438588224527
Tornado,ford,After,11515,0.001424118243245
Tornado,valley,Before,11480,0.001350286883033
Tornado,aol,After,11384,0.001407916811212
Tornado,yahoo,Before,11350,0.001334996177912
Tornado,chicago,Before,11324,0.001331938036888
Tornado,season,Before,11206,0.00131805878147
Tornado,season,After,11120,0.001375266597038
Tornado,real,Before,11118,0.00130770815031
Tornado,world,After,11027,0.001363764817044
Tornado,valley,After,10941,0.001353128762427
Tornado,weatherford,Before,10937,0.001286418783949
Tornado,estate,Before,10914,0.001283713505351
Tornado,aol,Before,10686,0.001256895960984
Tornado,white,Before,10675,0.001255602132089
Tornado,italy,Before,10620,0.001249132987614
Tornado,mexico,After,10580,0.001308482068045
Tornado,creamery,Before,10547,0.001240546668585
Tornado,school,After,10535,0.001302916690629
Tornado,snowboard,Before,10248,0.001205378046805
Tornado,local,Before,10238,0.001204201838719
Tornado,mountain,After,10215,0.001263340673448
Tornado,cloudy,Before,10178,0.001197144590201
Tornado,realty,Before,10133,0.001191851653813
Tornado,photos,After,10110,0.00125035479281
Tornado,chicago,After,10031,0.001240584463569
Tornado,orlando,Before,9975,0.00117326756605
Tornado,realty,After,9930,0.001228093283146
Tornado,carowinds,Before,9923,0.001167151284002
Tornado,forcast,After,9874,0.001221167480139
Tornado,bridge,Before,9806,0.001153389649392
Tornado,average,Before,9800,0.001152683924541
Tornado,reports,Before,9779,0.001150213887559
Tornado,orlando,After,9755,0.00120645014875
Tornado,coldwellbanker,After,9737,0.001204223997784
Tornado,kcci,Before,9714,0.001142568534999
Tornado,damage,After,9678,0.001196927169616
Tornado,coldwellbanker,Before,9677,0.00113821656508
Tornado,river,After,9644,0.001192722217791
Tornado,accu,After,9529,0.001178499586616
Tornado,weatherford,After,9523,0.001177757536294
Tornado,tennessee,After,9493,0.001174047284683
Tornado,creamery,After,9473,0.001171573783609
Tornado,italy,After,9469,0.001171079083395
Tornado,conditions,Before,9459,0.001112575228799
Tornado,carolina,Before,9375,0.001102695080874
Tornado,ohio,After,9329,0.001153764575878
Tornado,accu,Before,9319,0.001096108315591
Tornado,reports,After,9310,0.001151414749858
Tornado,local,After,9307,0.001151043724697
Tornado,weatherchannel,Before,9295,0.001093285416184
Tornado,weatherunderground,Before,9285,0.001092109208098
Tornado,forest,After,9285,0.001148322873516
Tornado,history,Before,9249,0.001087874858987
Tornado,carolina,After,9221,0.001140407670079
Tornado,river,Before,9211,0.00108340526826
Tornado,white,After,9145,0.001131008365999
Tornado,ohio,Before,9082,0.001068232183947
Tornado,arizona,Before,8958,0.001053647203677
Tornado,international,Before,8889,0.001045531367882
Tornado,london,Before,8863,0.001042473226857
Tornado,dallas,Before,8819,0.001037297911278
Tornado,average,After,8787,0.001086732696778
Tornado,sean,After,8777,0.001085495946241
Tornado,arizona,After,8771,0.001084753895919
Tornado,long,Before,8769,0.001031416870847
Tornado,weatherunderground,After,8747,0.00108178569463
Tornado,animals,Before,8646,0.001016949511386
Tornado,weatherbug,After,8620,0.001066078962812
Tornado,real,After,8575,0.001060513585395
Tornado,tornados,Before,8553,0.001006010776183
Tornado,desert,Before,8475,0.00099683635311
Tornado,paul,After,8462,0.001046538304328
Tornado,sacramento,Before,8453,0.000994248695321
Tornado,island,Before,8411,0.000989308621358
Tornado,bankers,Before,8403,0.000988367654889
Tornado,bridge,After,8373,0.00103553122455
Tornado,south,After,8372,0.001035407549496
Tornado,long,After,8303,0.001026873970792
Tornado,snowboarding,Before,8254,0.000970842154404
Tornado,sean,Before,8232,0.000968254496614
Tornado,atmosphere,After,8204,0.001014630140476
Tornado,dallas,After,8181,0.001011785614241
Tornado,colorado,After,8179,0.001011538264134
Tornado,estate,After,8144,0.001007209637255
Tornado,blizzard,After,8118,0.001003994085859
Tornado,sunnyvale,Before,8102,0.000952963791493
Tornado,county,After,8049,0.000995460507154
Tornado,international,After,8024,0.000992368630812
Tornado,school,Before,8012,0.000942377918716
Tornado,sacramento,After,8004,0.000989895129738
Tornado,country,After,7991,0.00098828735404
Tornado,paul,Before,7986,0.000939319777692
Tornado,springs,After,7943,0.000982350951463
Tornado,county,Before,7938,0.000933673978878
Tornado,that,Before,7937,0.000933556358069
Tornado,blizzard,Before,7932,0.000932968254026
Tornado,miami,Before,7901,0.000929322008959
Tornado,mountain,Before,7871,0.0009257933847
Tornado,weatherby,Before,7846,0.000922852864484
Tornado,mayweather,After,7842,0.00096985977104
Tornado,photos,Before,7803,0.000917795169713
Tornado,cafe,After,7801,0.000964789093839
Tornado,doors,After,7800,0.000964665418785
Tornado,north,Before,7759,0.000912619854134
Tornado,country,Before,7751,0.000911678887665
