EVENT_TYPE,TOKEN,QUERY_RELATIVE_POSITION,TOTAL_QUERY_COUNT,TOKEN_RATIO_BEFORE_AFTER_EVENT
Tornado,sunbrella,After,2952,0.015372918250654
Tornado,fart,After,2331,0.012138981179632
Tornado,colorado,Before,1794,0.009538595689023
Tornado,map,Before,1783,0.009480109316347
Tornado,furniture,After,1663,0.008660285586327
Tornado,aol,After,1584,0.008248882963765
Tornado,names,After,1559,0.008118692260423
Tornado,screen,After,1520,0.007915594763209
Tornado,norwalk,After,1472,0.007665628612792
Tornado,park,Before,1306,0.006943927519433
Tornado,mgmgrand,After,1230,0.006405382604439
Tornado,belmont,Before,1197,0.006364380735652
Tornado,county,Before,1135,0.006034730271483
Tornado,five,Before,1131,0.006013462499601
Tornado,big,Before,1129,0.00600282861366
Tornado,rowe,Before,1106,0.005880538925339
Tornado,price,Before,1088,0.005784833951871
Tornado,goods,Before,1086,0.00577420006593
Tornado,games,After,1106,0.005759636715861
Tornado,sporting,Before,1066,0.005667861206521
Tornado,new,After,1022,0.005322195952631
Tornado,county,After,993,0.005171174736754
Tornado,card,After,984,0.005124306083551
Tornado,bostonproper,Before,902,0.004795882559364
Tornado,house,Before,885,0.004705494528866
Tornado,beef,Before,873,0.00464169121322
Tornado,corned,Before,864,0.004593838726486
Tornado,old,Before,854,0.004540669296781
Tornado,lyrics,After,835,0.004348369491631
Tornado,lyrics,Before,810,0.00430672380608
Tornado,free,Before,802,0.004264188262317
Tornado,university,Before,798,0.004242920490435
Tornado,free,After,772,0.004020288919209
Tornado,mac,Before,736,0.003913270026266
Tornado,plant,Before,724,0.00384946671062
Tornado,genocide,After,739,0.003848437190797
Tornado,papier,After,738,0.003843229562663
Tornado,mache,After,738,0.003843229562663
Tornado,rwanda,After,738,0.003843229562663
Tornado,josephs,Before,705,0.003748444794181
Tornado,robert,Before,704,0.003743127851211
Tornado,this,Before,689,0.003663373706654
Tornado,new,Before,684,0.003636788991801
Tornado,spanish,After,628,0.003270390467957
Tornado,learn,After,602,0.003134992136482
Tornado,center,After,578,0.003010009061273
Tornado,james,Before,561,0.002982805006434
Tornado,news,After,538,0.002801703935925
Tornado,online,Before,526,0.002796712002467
Tornado,sex,After,531,0.00276525053899
Tornado,school,After,528,0.002749627654588
Tornado,aol,Before,513,0.002727591743851
Tornado,ushsbc,Before,512,0.00272227480088
Tornado,state,After,515,0.00268192848885
Tornado,city,After,512,0.002666305604449
Tornado,sinks,After,511,0.002661097976316
Tornado,hotel,After,506,0.002635059835647
Tornado,center,Before,495,0.002631886770383
Tornado,comda,Before,492,0.002615935941471
Tornado,mall,After,501,0.002609021694979
Tornado,home,Before,480,0.002552132625825
Tornado,university,After,484,0.002520492016706
Tornado,white,Before,462,0.002456427652357
Tornado,john,Before,451,0.002397941279682
Tornado,hospital,Before,445,0.002366039621859
Tornado,florida,Before,443,0.002355405735918
Tornado,vessel,After,449,0.002338225032027
Tornado,american,After,443,0.002306979263225
Tornado,downloads,Before,417,0.002217165218686
Tornado,download,After,423,0.002202826700551
Tornado,recipes,Before,411,0.002185263560863
