BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
200601,1,1525,200601,1,1527,203084,5488424,MISSISSIPPI,28,2006,January  ,Tornado,C,91,MARION,JAN,2006-01-01 15:25:00,CST,2006-01-01 15:27:00,0,0,0,0,100K,,NWS STORM SURVEY,,,F1,1.0,50.0,4.0,ENE,SANDY HOOK,5.0,ENE,SANDY HOOK,31.05,-89.75,31.07,-89.73,,"This weak tornado briefly touched down just northeast of Sandy Hook on Will Alexander Road and damaged one home taking a small portion of the roof off and downing several trees. An eye witness saw the funnel just above the tree tops, then shortly after it crossed Highway 43 debris began flying in the air. That was the time the funnel became a tornado and when damage occurred on Will Alexander Road."
200601,2,300,200601,2,301,203433,5488448,MISSOURI,29,2006,January  ,Tornado,C,183,ST. CHARLES,LSX,2006-01-02 03:00:00,CST,2006-01-02 03:01:00,0,0,0,0,,,NWS STORM SURVEY,,,F0,0.5,40.0,3.0,SW,NEW MELLE,2.0,SW,NEW MELLE,38.67,-90.92,38.7,-90.92,,A small tornado downed trees and damaged an outbuilding southwest of New Melle.
200601,2,445,200601,2,446,203434,5488449,MISSOURI,29,2006,January  ,Tornado,C,179,REYNOLDS,LSX,2006-01-02 04:45:00,CST,2006-01-02 04:46:00,0,0,0,0,,,NWS STORM SURVEY,,,F0,0.5,50.0,2.0,SW,REYNOLDS,1.0,SW,REYNOLDS,37.37,-91.1,37.37,-91.08,,"A small brief tornado caused damage along Highway B southwest of Reynolds. One home suffered minor roof damage, one outbuilding was destroyed, a couple of camper trailers were overturned, and trees damaged."
200601,2,525,200601,2,527,203432,5488447,MISSOURI,29,2006,January  ,Tornado,C,189,ST. LOUIS,LSX,2006-01-02 05:25:00,CST,2006-01-02 05:27:00,0,0,0,0,,,NWS STORM SURVEY,,,F1,1.0,50.0,,,CREVE COEUR,,,CREVE COEUR,38.67,-90.42,38.67,-90.42,,A small tornado first caused damage about 5:25 am in Creve Coeur west of Warson Road and south of Olive Boulevard. One home suffered minor roof damage while another had windows blown in. The remainder of the 1 mile path consisted of tree and power line damage.
200601,2,802,200601,2,803,203476,5486530,ILLINOIS,17,2006,January  ,Tornado,C,173,SHELBY,ILX,2006-01-02 08:02:00,CST,2006-01-02 08:03:00,0,0,0,0,15K,,EMERGENCY MANAGER,,,F1,0.1,35.0,2.0,S,OCONEE,2.0,S,OCONEE,39.25,-89.12,39.25,-89.12,,"A tornado briefly touched down, destroyed a 40' by 60' pole barn and blew down a few large tree limbs.  Debris from the tornado broke a window in a house on the property."
200601,2,1255,200601,2,1255,204091,5492428,FLORIDA,12,2006,January  ,Tornado,C,77,LIBERTY,TAE,2006-01-02 12:55:00,EST,2006-01-02 12:55:00,0,0,0,0,10K,,EMERGENCY MANAGER,,,F0,0.2,50.0,,,SUMATRA,,,SUMATRA,30.02,-84.98,30.02,-84.98,,A tornado touched down briefly and tossed an unoccupied trailer.  It also downed some power lines.  Reported by the Liberty County EMA.
200601,2,1443,200601,2,1458,203303,5486512,KENTUCKY,21,2006,January  ,Tornado,C,93,HARDIN,LMK,2006-01-02 14:43:00,EST,2006-01-02 14:58:00,0,0,0,0,2M,,NWS STORM SURVEY,,,F2,8.4,150.0,1.0,W,CECILIA,2.0,SE,LONG VIEW,37.67,-85.97,37.77,-85.9,"The tornado touched down near Cecilia, blowing the roof off a barn, but only producing shingle damage on nearby residences. It did more damage when it reached St. John Road, where it destroyed a home and some farm buildings. As the tornado continued to the northeast, it produced major roof damage to homes along Rineyville Road. Next, an office building that was under construction was lifted off its foundation. A convenience store was destroyed along U.S. 31W. A few more homes received minor damage before the tornado lifted near Longview.",
200601,2,1450,200601,2,1505,203301,5486509,KENTUCKY,21,2006,January  ,Tornado,C,123,LARUE,LMK,2006-01-02 14:50:00,EST,2006-01-02 15:05:00,0,0,0,0,500K,,NWS STORM SURVEY,,,F1,6.4,175.0,1.0,WSW,TALLEY,1.0,ESE,TANNER,37.45,-85.87,37.48,-85.77,"The tornado touched down near Talley in southwest Larue County, and was intermittently on the ground until lifting just east of Tanner. Near Talley, the tornado lifted the roof off a home. A home on Upton-Talley Road had the front porch and much of the roof removed. The tornado also did moderate damage to barns and destroyed several outbuildings, and moved a 2700 pound motorboat a distance of 220 feet. In the Oak Hill area, two barns and some outbuildings were destroyed. Another barn and a home were damaged.",
200601,2,1522,200601,2,1527,203299,5486507,KENTUCKY,21,2006,January  ,Tornado,C,111,JEFFERSON,LMK,2006-01-02 15:22:00,EST,2006-01-02 15:27:00,0,0,0,0,250K,,NWS STORM SURVEY,,,F1,1.5,34.0,1.0,WSW,ST DENNIS,1.0,NNW,ST DENNIS,38.22,-85.83,38.23,-85.82,"A tornado touched down at 322 PM near the corner of Bramers and Campground Road in western Jefferson County. Many homes along the damage path had roof damage. A large, well constructed barn was destroyed. Numerous trees and power lines were downed; one tree was blown on to a house. The local Moose Lodge building had significant damage. The tornado lifted around 327 PM near the intersection of Campground Road and Ralph Avenue.",
200601,2,1522,200601,2,1524,203302,5486510,KENTUCKY,21,2006,January  ,Tornado,C,1,ADAIR,LMK,2006-01-02 15:22:00,EST,2006-01-02 15:24:00,0,0,0,0,150K,,NWS STORM SURVEY,,,F2,0.6,200.0,1.0,ESE,COLUMBIA,2.0,E,COLUMBIA,37.1,-85.28,37.1,-85.27,"The first tornado touched down near Columbia. It destroyed a mobile home and removed the roof from a house. Other homes and mobile homes were damaged. The tornado lifted and the parent cell travelled into northeast Adair County. The second tornado touched down in the Pellyton area, about 13 miles to the northeast of the first touchdown. Several homes and barns in the area were damaged before the tornado lifted again.",
