Title	Video ID	Published At	Description	View Count	Like Count	View-Like-Ratio
Pink Floyd - Wish You Were Here	IXdNnw99-Ic	2006-04-05T07:20:00Z	Pink Floyd, Wish You Were Here (1975) So, so you think you can tell Heaven from Hell, Blue skys from pain. Can you tell a green ...	253437357	1399201	0.005520894854
Queen - Love of My Life	v3xwCkhmies	2006-05-30T16:00:25Z	Wembley, '86.	249627967	1478138	0.005921363771
Kinto Sol - Ella Se Fue	W9RjNfQ8Mpo	2006-03-11T21:25:49Z	Kinto Sol Spotify: https://rb.gy/8uhktw Website : http://www.kintosol.com/ Youtube: https://rb.gy/jpli0q Instagram ...	227108781	1070282	0.004712640327
Grupo Niche Gotas De Lluvia	MjXU7I6aBpA	2006-04-12T18:28:56Z	Salsa Video for Gotas De Lluvia.	166566980	376792	0.00226210501
In the Jungle, the mighty jungle...	QvsQ9hYKq7c	2006-04-14T15:10:08Z	OK I know that this is not the most original thing in the world but it is the whole song or that's what I believe. Hope u lik it Bye, ...	143856593	1357880	0.009439122474
Lo que tú Quieras Oír	12Z3J1uzd0Q	2006-03-26T15:07:55Z	Sofía llega a casa tras un largo día de trabajo. Charla con una amiga y prepara una cena para su novio. Pero algo sucede y se ve ...	108322473	13943	0.0001287175192
Enter Sandman - Metallica	1QP-SIW6iKY	2006-05-31T07:55:49Z	The song at the begging is The Ecstasy of Gold from the film: The Good, the Bad and the Ugly directed by Sergio Leone in ...	85165471	276466	0.003246221699
Kyon Ki Itna Pyaar	_XUe6Obeyk0	2006-05-04T11:12:37Z	Kyon ki film [Kareena, saLman jaan] lol.	65176025	106513	0.001634235902
Jessica Rabbit - Why don't you do right	yy5THitqPBw	2006-05-14T18:48:18Z	Jessica Rabbit performs Why Don't You Do Right in the movie Who Framed Roger Rabbit (1988) [HD]	59880458	329278	0.005498922537
The Elephant Song - by Eric Herman and the Invisible Band	yihq8BIhL9c	2006-05-29T02:36:56Z	NEW VIDEOS 2021-22!! Googly Eyes: https://youtu.be/KzsbBafVqEc Merry-Go-Round: https://youtu.be/kTbk2s9-Sgs The ...	54328495	82982	0.001527412088
