,QUERY,month,day of the month,DAYSAFTERDBSTART,hour,minute,QUERYID,TIMEID,ANONID,MINUTESAFTERMIDNIGHT
0,jake peyton,march    ,1,0,0,13,2775687,5962961,154767,13
1,bush drinking video,april    ,26,56,9,31,2778308,5986392,53322,571
2,cant stop scratching my vagina,april    ,26,56,2,19,2774391,4104872,317691,139
3,vid idiots,april    ,19,49,16,6,2785441,2778338,126651,966
4,naruto websites,may      ,9,69,15,44,2787473,5086065,7725,944
5,eruption-van halen,may      ,12,72,22,19,2816960,812012,352335,1339
6,lip tattoos,april    ,27,57,15,22,2820876,6022840,504813,922
7,rampage jackson,may      ,30,90,19,11,2827013,4781833,476982,1151
8,sex bomb skate program,april    ,2,32,18,55,2826714,6858032,338593,1135
9,beyonce skirt oop on stage,may      ,20,80,16,22,2826873,4399364,362131,982
10,beyonce skirt oop on stage,may      ,20,80,16,22,2826873,2684674,362131,982
11,elkins high school,march    ,3,2,1,23,2832128,990416,508911,83
12,cigar smoking fetish,april    ,15,45,13,4,2833879,2516471,155585,784
13,cigar smoking fetish,april    ,15,45,13,4,2833879,2516471,155585,784
14,cigar smoking fetish,april    ,15,45,13,4,2833879,2516471,155585,784
15,cigar smoking fetish,april    ,15,45,13,4,2833879,2516471,155585,784
16,cigar smoking fetish,april    ,15,45,13,4,2833879,1968994,155585,784
17,cigar smoking fetish,april    ,15,45,13,4,2833879,1968994,155585,784
18,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
19,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
20,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
21,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
22,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
23,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
24,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
25,cigar smoking fetish,april    ,15,45,13,4,2833879,3690442,155585,784
26,cigar smoking fetish,april    ,15,45,13,4,2833879,4840035,155585,784
27,cigar smoking fetish,april    ,15,45,13,4,2833879,4840035,155585,784
28,cigar smoking fetish,april    ,15,45,13,4,2833879,4840035,155585,784
29,cigar smoking fetish,april    ,15,45,13,4,2833879,4590085,155585,784
30,cigar smoking fetish,april    ,15,45,13,4,2833879,4590085,155585,784
31,cigar smoking fetish,april    ,15,45,13,4,2833879,553236,155585,784
32,cigar smoking fetish,april    ,15,45,13,4,2833879,4539449,155585,784
33,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
34,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
35,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
36,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
37,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
38,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
39,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
40,cigar smoking fetish,april    ,15,45,13,4,2833879,858618,155585,784
41,reed dollaz battles,may      ,23,83,17,16,2835498,2973519,124008,1036
42,scryed,april    ,4,34,7,10,2835079,4516531,65269,430
43,gore serial,april    ,28,58,5,14,2846145,4280607,631860,314
44,naruto episode 181,april    ,17,47,6,13,2845306,4448585,417234,373
45,slap happy,march    ,7,6,17,50,2848249,3373612,370461,1070
46,bigest boobs ever,march    ,18,17,16,12,2847561,6877631,147789,972
47,u2 hold me thrill me video,april    ,11,41,8,17,2867662,5825471,90699,497
48,bagged s10s,may      ,5,65,12,6,2872125,1136358,176011,726
49,shenna easton,may      ,7,67,13,12,2871781,6918548,12911,792
50,is dale earnhardt jr on myspace,may      ,31,91,1,23,2877288,362971,428624,83
51,joga bonito 3v3,march    ,15,14,10,47,2882281,5664590,451584,647
52,keshia coles watch love,march    ,18,17,19,56,2884702,304967,480594,1196
53,very muscular women,april    ,5,35,3,34,2888500,568544,129215,214
54,smallville music videos,may      ,20,80,16,56,2891079,62240,245954,1016
55,jimmy kimmel and tom cruise skit,may      ,16,76,21,28,2899814,1279725,614859,1288
56,house m.d.,march    ,29,28,0,20,2904567,5622940,283875,20
57,finntroll video codes,april    ,4,34,20,25,2917160,3295526,18542,1225
58,kingdom hearts 2 video download,march    ,22,21,2,49,2916664,1013004,630544,169
59,www.hotgay,march    ,28,27,8,11,2921199,721029,86960,491
60,www.pistols,may      ,30,90,1,47,2930574,6491979,331103,107
61,eureka seven videos,may      ,12,72,22,5,2929953,95405,622687,1325
62,movie parody videos,march    ,1,0,2,44,2936447,2100542,502550,164
63,buffie the body photo shoot,march    ,19,18,2,41,2939356,1151201,246998,161
64,liza minelli on larry king show,may      ,27,87,5,57,2947502,6449334,630686,357
65,jason delucia,march    ,23,22,23,23,2950493,3635305,634267,1403
66,colbert and bush,march    ,29,28,7,8,2958748,5922598,102731,428
67,freerunning.,march    ,15,14,12,41,2973353,3720992,395167,761
68,freerunning.,march    ,15,14,12,41,2973353,3720992,395167,761
69,wendell and kyo,may      ,31,91,9,43,2972150,6070727,16725,583
70,rorion gracie fights clips,may      ,26,86,12,22,2981226,368948,94033,742
71,washing white briefs,april    ,14,44,20,32,2984146,5265131,366850,1232
72,culo,may      ,1,61,15,28,2988843,2242394,410385,928
73,culo,may      ,1,61,15,28,2988843,4496060,410385,928
74,culo,may      ,1,61,15,28,2988843,6340018,234181,928
75,monkey smells finger from ass and falls off tree,may      ,14,74,18,18,2990099,3044071,517754,1098
76,im in love with a stripper video,may      ,26,86,23,6,2995232,4594385,474430,1386
77,short 20haircut,april    ,9,39,1,41,3000826,3145734,391713,101
78,zatch bell subbed,march    ,3,2,7,58,3011532,3321067,293440,478
79,hinata and naruto romance,april    ,13,43,22,36,3016687,5156110,172414,1356
80,hinata and naruto romance,april    ,13,43,22,36,3016687,5156110,172414,1356
81,dave chappelle's r. kelly piss on you,march    ,2,1,6,20,3015240,6769954,407388,380
82,monty python flying circus videos,may      ,13,73,18,45,3018829,4109719,590470,1125
83,reed dollaz,april    ,13,43,9,27,3021408,2064411,269451,567
84,dressing room vids,march    ,17,16,11,36,3018375,2304206,342288,696
85,dressing room vids,march    ,17,16,11,36,3018375,2304206,342288,696
86,dressing room vids,march    ,17,16,11,36,3018375,2304206,342288,696
87,dressing room vids,march    ,17,16,11,36,3018375,5948570,342288,696
88,dressing room vids,march    ,17,16,11,36,3018375,5948570,342288,696
89,dressing room vids,march    ,17,16,11,36,3018375,5948570,342288,696
90,mr bill hypnotic shows,april    ,26,56,7,41,3031946,4708727,42292,461
91,whitesnake video girl on car,march    ,6,5,22,11,3033224,1286524,52998,1331
92,ridin dirty video,may      ,10,70,6,50,3033624,2611805,557147,410
93,how to peel eggs,may      ,6,66,14,42,3034782,5416215,319652,882
94,mad tv making fun of fred durst,may      ,5,65,9,38,3039042,4820803,515414,578
95,members.purelyblue.net,may      ,29,89,9,15,3042478,1155894,65506,555
96,eddie eagle gun safety,march    ,21,20,19,48,3041322,3352693,88868,1188
97,leprechaun,march    ,11,10,20,51,3041760,3017706,135741,1251
98,kingdomhearts2 ending,april    ,16,46,9,18,3046760,226919,522867,558
99,kingdomhearts2 ending,april    ,16,46,9,18,3046760,226919,522867,558
100,kingdomhearts2 ending,april    ,16,46,9,18,3046760,2825191,522867,558
101,welcome to silent hill .com,may      ,30,90,4,17,3047527,2426389,590777,257
102,liza on larry king,may      ,13,73,22,10,3050102,6448056,129721,1330
103,funny videos xbox 360 video,april    ,30,60,17,47,3054950,4207688,476982,1067
104,rabbi kaye,april    ,8,38,16,16,3054301,4910192,260532,976
105,jamie presley,march    ,10,9,17,17,3057369,2648708,325670,1037
106,juggernaut,march    ,6,5,4,38,3070774,6751959,571698,278
107,juggernaut,march    ,6,5,4,38,3070774,3522524,316984,278
108,x-men3 video game trailer,march    ,6,5,23,40,3076294,654654,254742,1420
109,psp hack get cheat device on psp 2.70,march    ,14,13,10,49,3085939,4603208,290787,649
110,blood gang,may      ,31,91,19,49,3084451,2391386,384601,1189
111,snl portman,may      ,1,61,14,19,3090495,28241,256905,859
112,raviv ullman,may      ,7,67,13,12,3097640,6555960,260768,792
113,raviv ullman,may      ,7,67,13,12,3097640,6555960,260768,792
114,smack dvd,march    ,26,25,15,32,3103315,4848986,155976,932
115,hooters,april    ,10,40,7,27,3106638,3310719,504551,447
116,h.i.m gone with the sin video,march    ,19,18,8,57,3116897,1949106,387705,537
117,brokeback mountain star wars,may      ,18,78,19,14,3114917,1868838,584286,1154
118,buffie the body pictures,april    ,6,36,13,17,3120655,3915003,103079,797
119,copa telehit,may      ,28,88,21,32,3122619,2354897,333130,1292
120,autistic high school basketball player new york,may      ,24,84,21,0,3126237,3910098,137107,1260
121,young joc video,may      ,17,77,0,5,3139971,1351948,169505,5
122,chevelle brooks,march    ,8,7,1,27,3140023,1200005,136018,87
123,albinoblack sheep,march    ,20,19,3,30,3147819,605207,628119,210
124,calcio swiss italia watch,april    ,8,38,10,37,3150886,59242,269147,637
125,ovechkin on nhl 2k6,april    ,17,47,14,44,3154807,775339,365757,884
126,dixie chicks video,march    ,31,30,4,26,3162419,3654385,185554,266
127,silent 20hill,april    ,18,48,13,1,3163872,6536644,314305,781
128,nba fights,march    ,16,15,4,0,3172053,1096474,457276,240
129,kh2 video my sanctuary,may      ,5,65,9,52,3176100,382858,516373,592
130,exorcism pranks,may      ,20,80,12,16,3181778,6306196,439844,736
131,the simpsons,april    ,4,34,9,30,3180710,880544,651953,570
132,the simpsons,april    ,4,34,9,30,3180710,4368525,617476,570
133,what hurts the most- flatt,april    ,8,38,12,13,3180766,2343654,52767,733
134,myspace. movie,may      ,31,91,10,46,3187436,1149216,168124,646
135,superfrickster,april    ,2,32,1,34,3187344,6576730,234807,94
136,thizz dance mac dre video,april    ,8,38,0,24,3191660,6524474,41412,24
137,240sx drifting,may      ,22,82,1,24,3195161,556675,372648,84
138,led flashing tongue rings,may      ,3,63,0,21,3209672,1697462,340263,21
139,underage belly button,march    ,29,28,22,35,3215409,2942572,525685,1355
140,pornstars mixed wrestling,april    ,26,56,19,49,3215894,405081,196522,1189
141,where to purchase john mayer has a tv show,april    ,26,56,10,0,3215969,60102,394752,600
142,tube video,may      ,1,61,12,17,3223584,5838373,270328,737
143,tube video,may      ,1,61,12,17,3223584,1609029,506567,737
144,tube video,may      ,1,61,12,17,3223584,4613467,126010,737
