BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
200601,1,300,200601,1,1500,203892,5491373,OKLAHOMA,40,2006,January  ,Wildfire,Z,73,PITTSBURG,TSA,2006-01-01 03:00:00,CST,2006-01-01 15:00:00,0,0,0,0,,,NEWSPAPER,A wildfire in rural Pittsburg County to the northeast of McAlester near Bugtussle Road and Two Mile Lane burned hundreds of acres.,
200601,1,900,200601,1,1900,203897,5491378,OKLAHOMA,40,2006,January  ,Wildfire,Z,74,HASKELL,TSA,2006-01-01 09:00:00,CST,2006-01-01 19:00:00,0,0,0,0,,,NEWSPAPER,A wildfire in the Garland Corner area northeast of Stigler burned 200 acres.,
200601,1,900,200601,2,900,203286,5488720,NEW MEXICO,35,2006,January  ,Wildfire,Z,33,CENTRAL LEA COUNTY,MAF,2006-01-01 09:00:00,MST,2006-01-02 09:00:00,3,0,0,0,700K,10K,LAW ENFORCEMENT,,"Record high temperatures (in the mid to upper 70s), very low relative humidities, high winds, and two and a half months without measurable precipitation combined to produce a very active fire weather day.  SPC issued a critical fire weather area for west Texas and southeastern New Mexico in their Day 1 Fire Weather Outlook issued early on January 1st.  

A grass fire driven by wind burned 50,000 acres west of Hobbs on New Year's Day.  The western side of Hobbs had to be evacuated, including the community college, a casino, and several neighborhoods.  Three firefighters sustained minor injuries, but no one was seriously injured.  Four families were provided shelter by the Red Cross, though eleven homes were destroyed.  Two businesses and 10 vehicles also were destroyed by the fire.  

In addition to the wildfire west of Hobbs, two fires burned near Tatum in northern Lea county.  No structures were damaged in these fires, however, U.S. Highway 380 was closed from Roswell to the Texas state line during the day because of the fires.  According to local authorities, one fire near Tatum was caused by fireworks and the other was sparked by a car crash."
200601,1,1045,200601,5,1900,203287,5485922,TEXAS,48,2006,January  ,Wildfire,Z,70,REAGAN,MAF,2006-01-01 10:45:00,CST,2006-01-05 19:00:00,1,0,0,0,15K,1.3M,TRAINED SPOTTER,,"Record high temperatures (in the mid to upper 70s), very low relative humidities, high winds, and two and a half months without measurable precipitation combined to produce a very active fire weather day.  SPC issued a critical fire weather area for west Texas and southeastern New Mexico in their Day 1 Fire Weather Outlook issued early on January 1st.  

A grassfire spread to over 40,000 acres in Reagan and Irion counties on New Year's Day.  Newspapers originally reported the cause as sparks from a transformer.  Later, a fire department official in Big Lake reported that a hawk landed on power lines and burst into flames, starting the fire.  Because of high winds, record high temperatures, and very low relative humidities, it took firefighters 3 days to contain the wildfire.  It was extinguished a couple of days later.  One firefighter sustained 2nd degree burns to his face while fighting the fire but was treated and released from a regional burn center.  The fire was in mostly open country and thus only a hunting cabin was destroyed.    

In addition to the major fire in Reagan and Irion counties, several other small fires scorched west Texas.  Both Ector and Midland counties had fire and fireworks bans in effect for the period between New Year's Eve and January 6, 2006.  Several other counties also had fireworks bans in effect for the New Year's holiday.  

January was a dry month overall.  Several other minor fires occurred throughout west Texas, including two along Interstate 20 in Stanton.  Smoke from one of these fires reduced visibility on Interstate 20, causing a five car pile-up that resulted in two injuries.  Another fire in Scurry county, near the Inadale Cotton Gin, burned 415 modules of cotton, each worth around $3,000.  Each of the modules contains about 10 bales of cotton.

Damage estimates in the above entry include all fires that burned in Texas during the month of January."
200601,1,1055,200601,1,1300,203290,5486115,TEXAS,48,2006,January  ,Wildfire,Z,23,SWISHER,LUB,2006-01-01 10:55:00,CST,2006-01-01 13:00:00,0,0,0,0,175K,0,NEWSPAPER,"
January 1 Wind and Wildfire Event Summary - A potent upper level trough affected much of the Southern Plains on New Year's Day. The trough resulted in widespread high winds over the region, where intense short-term drought conditions existed. The wind combined with the exceptionally dry conditions to result in a historic outbreak of wildfires over eastern New Mexico, Texas, and Oklahoma.

High and frequently severe winds began to blow over the west Texas South Plains by late morning. These winds persisted through the mid afternoon hours, and resulted in widespread blowing dust and one injury. At least a dozen wind-driven wildfires were sparked over the South Plains. Four of the wildfires were significant, and resulted in the loss of property and three injuries. The winds and fires on the 1st combined to result in four injuries and estimated property losses that exceeded $350,000 .","A wildfire near the rural community of Claytonville (Swisher County) destroyed two homes. No injuries were reported.

A second wildfire ignited near the intersection of Regis and Interstate 27, one mile southwest of Lubbock International Airport. The fire destroyed horse stables, and one fire fighter was hospitalized for smoke inhalation related injuries.

Another large wildfire near Levelland burned two mobile homes and injured fire fighters. Two firemen were hospitalized due to minor burn injuries and smoke inhalation.

A wildfire that initiated near Tatum, New Mexico, burned several thousand acres of rangeland and threatened structures as it spread across the Texas/New Mexico state-line into Yoakum County near Bronco. The fire was contained before doing significant damage in Yoakum County, but one rural residence was evacuated."
200601,1,1100,200601,1,1630,203627,5486447,TEXAS,48,2006,January  ,Wildfire,Z,15,WHEELER,AMA,2006-01-01 11:00:00,CST,2006-01-01 16:30:00,0,0,0,0,,,NEWSPAPER,A deepening low pressure system over Kansas...low relative humidities...and dry fuels combined to produce extreme fire danger conditions. A wildfire burned nearly twenty-three thousand acres in the southeast Texas panhandle between Interstate 40 and Clarendon. Several houses were threatened outside Clarendon...however the fire was diverted around them. Another wildfire burned nearly thirty-one hundred acres just northeast of Shamrock. About one hundred people were evacuated by authorities and about ten structures and one motel were threatened by the wildfire. One firefighter on the Howardwick wildfire was injured when he received minor burns to the face.,
200601,1,1100,200601,4,1700,203627,5486446,TEXAS,48,2006,January  ,Wildfire,Z,19,DONLEY,AMA,2006-01-01 11:00:00,CST,2006-01-04 17:00:00,1,0,0,0,,,NEWSPAPER,A deepening low pressure system over Kansas...low relative humidities...and dry fuels combined to produce extreme fire danger conditions. A wildfire burned nearly twenty-three thousand acres in the southeast Texas panhandle between Interstate 40 and Clarendon. Several houses were threatened outside Clarendon...however the fire was diverted around them. Another wildfire burned nearly thirty-one hundred acres just northeast of Shamrock. About one hundred people were evacuated by authorities and about ten structures and one motel were threatened by the wildfire. One firefighter on the Howardwick wildfire was injured when he received minor burns to the face.,
200601,1,1113,200601,2,2300,203872,5486820,TEXAS,48,2006,January  ,Wildfire,Z,64,STERLING,SJT,2006-01-01 11:13:00,CST,2006-01-02 23:00:00,0,0,0,0,,,FIRE DEPT/RESCUE SQUAD,,"The Cole Fire started in southern Sterling County along highway 163 and spread quickly to the east for 15 to 20 miles in winds gusting upwards of 50 mph and humidities of 5 to 10 percent. This fire spread into Tom Green and extreme southwest Coke County. The fire did threaten the community of Water Valley, however was contained. The fire consumed around 40 thousand acres."
200601,1,1200,200601,1,2000,203887,5491487,OKLAHOMA,40,2006,January  ,Wildfire,Z,64,CREEK,TSA,2006-01-01 12:00:00,CST,2006-01-01 20:00:00,0,0,0,0,200K,,NEWSPAPER,"Three fast moving wildfires broke out in the Bristow area burning thousands of acres and many structures including two mobile homes.

Another fire occurred from near the old Shamrock Highway to the northeast near Joseph's Fine Foods and across Highway 16.  The fire charred 10,000 acres but did not damage any homes.",
200601,1,1213,200601,2,2300,203872,5486821,TEXAS,48,2006,January  ,Wildfire,Z,71,IRION,SJT,2006-01-01 12:13:00,CST,2006-01-02 23:00:00,1,0,0,0,,,FIRE DEPT/RESCUE SQUAD,,The Rocker B fire started soon after the Cole fire. This fire started just to the west of the Irion County line and moved quickly to the east with 50 mph wind gusts. One firefighter was injured while fighting this blaze. This fire also consumed about 40 thousand acres of land.
