,QUERY_ABOUT,LEMMATIZED_TOKEN,GROUP_SPECIFIC_TOKEN_PROBABILITY,GROUP_SPECIFIC_TOKEN_PERCENTAGE
12400,Weather Tracking and Alerts,weather,0.20271597959650597,20.271597959650578
10101,Weather Tracking and Alerts,cold,0.024898722762816,2.4898722762816146
10818,Weather Tracking and Alerts,hurricane,0.022866448634608,2.286644863460792
10120,Weather Tracking and Alerts,coldwell,0.017725198853313,1.77251988533129
10005,Weather Tracking and Alerts,channel,0.016823461326227,1.68234613262271
9732,Weather Tracking and Alerts,banker,0.016217816718483,1.6217816718482938
11924,Weather Tracking and Alerts,snow,0.014845022274262999,1.484502227426276
12141,Weather Tracking and Alerts,temperature,0.014696975814592,1.469697581459203
12042,Weather Tracking and Alerts,storm,0.012839665684176,1.283966568417657
10569,Weather Tracking and Alerts,forecast,0.011561082623384001,1.1561082623383299
11618,Weather Tracking and Alerts,rainbow,0.009892195259821001,0.989219525982154
12179,Weather Tracking and Alerts,thunder,0.00896354019461389,0.8963540194613799
12228,Weather Tracking and Alerts,tornado,0.008169472820017,0.816947282001588
11109,Weather Tracking and Alerts,lyric,0.006406374073026945,0.640637407302729
10601,Weather Tracking and Alerts,frost,0.006191033768052,0.6191033768051579
12154,Weather Tracking and Alerts,thailand,0.005464260238758908,0.546426023875856
10076,Weather Tracking and Alerts,climate,0.005302755010026999,0.530275501002679
11325,Weather Tracking and Alerts,new,0.005235461164722,0.523546116472187
11616,Weather Tracking and Alerts,rain,0.004670192864160872,0.467019286416064
10259,Weather Tracking and Alerts,day,0.00467019286416,0.467019286416064
9565,Weather Tracking and Alerts,accuweather,0.004347182406697,0.434718240669708
10946,Weather Tracking and Alerts,katrina,0.003983795642051,0.398379564205058
10530,Weather Tracking and Alerts,florida,0.003876125489562927,0.387612548956273
11057,Weather Tracking and Alerts,lightning,0.003808831644258,0.380883164425782
12182,Weather Tracking and Alerts,thunderbird,0.003754996568014,0.375499656801389
10059,Weather Tracking and Alerts,city,0.0036742439536479998,0.3674243953648
12468,Weather Tracking and Alerts,wind,0.003485821186794,0.348582118679426
11307,Weather Tracking and Alerts,national,0.003472362417732927,0.347236241773328
11698,Weather Tracking and Alerts,report,0.003364692265246,0.336469226524542
12151,Weather Tracking and Alerts,texas,0.003337774727123,0.333777472712346
9753,Weather Tracking and Alerts,beach,0.00314935196027,0.314935196026971
11954,Weather Tracking and Alerts,snowmobile,0.0031493519602699997,0.314935196026971
11742,Weather Tracking and Alerts,robert,0.003095516884026,0.309551688402579
12383,Weather Tracking and Alerts,war,0.003041681807781927,0.30416818077818597
12517,Weather Tracking and Alerts,york,0.002826341502806,0.282634150280615
12391,Weather Tracking and Alerts,water,0.002799423964684,0.279942396468419
12295,Weather Tracking and Alerts,underground,0.002597542428769,0.259754242876946
11614,Weather Tracking and Alerts,radar,0.0025302485834649267,0.253024858346456
10993,Weather Tracking and Alerts,lake,0.002489872276282,0.248987227628161
10606,Weather Tracking and Alerts,frosting,0.002449495969098927,0.24494959690986698
12037,Weather Tracking and Alerts,stone,0.0024494959690989086,0.24494959690986698
10540,Weather Tracking and Alerts,fog,0.00232836704755,0.232836704754983
12007,Weather Tracking and Alerts,spring,0.002314908278489,0.231490827848885
11786,Weather Tracking and Alerts,san,0.002261073202245,0.226107320224492
11494,Weather Tracking and Alerts,picture,0.002220696895062,0.222069689506198
11835,Weather Tracking and Alerts,season,0.0022072381260009083,0.2207238126001
9646,Weather Tracking and Alerts,aol,0.002113026742574,0.211302674257412
11213,Weather Tracking and Alerts,mexico,0.002086109204452,0.208610920445216
11632,Weather Tracking and Alerts,rainforest,0.002072650435392,0.207265043539118
10109,Weather Tracking and Alerts,coldplay,0.002045732897269,0.204573289726922
9706,Weather Tracking and Alerts,average,0.002018815359148,0.201881535914725
11984,Weather Tracking and Alerts,sore,0.00192460397572,0.192460397572038
10435,Weather Tracking and Alerts,estate,0.00188422766853789,0.18842276685374398
11661,Weather Tracking and Alerts,real,0.001884227668537,0.188422766853744
9804,Weather Tracking and Alerts,blizzard,0.001857310130416,0.185731013041548
9916,Weather Tracking and Alerts,california,0.001803475054172,0.180347505417155
11076,Weather Tracking and Alerts,local,0.001803475054172,0.180347505417155
10882,Weather Tracking and Alerts,island,0.001790016285111,0.179001628511057
10345,Weather Tracking and Alerts,door,0.0017496399779270001,0.174963997792762
10211,Weather Tracking and Alerts,creamery,0.001736181208867,0.173618120886664
10868,Weather Tracking and Alerts,international,0.001736181208867,0.173618120886664
10121,Weather Tracking and Alerts,coldwellbanker,0.001722722439806,0.172272243980566
10564,Weather Tracking and Alerts,forcast,0.001722722439806,0.172272243980566
11931,Weather Tracking and Alerts,snowboard,0.001722722439805,0.172272243980566
12404,Weather Tracking and Alerts,weatherbug,0.001709263670745,0.170926367074467
10567,Weather Tracking and Alerts,ford,0.001682346132623,0.168234613262271
11143,Weather Tracking and Alerts,map,0.0016823461326220001,0.16823461326227102
12322,Weather Tracking and Alerts,valley,0.001668887363562,0.166888736356173
9691,Weather Tracking and Alerts,atmosphere,0.001655428594501,0.165542859450075
10037,Weather Tracking and Alerts,chicago,0.001628511056379,0.162851105637878
9594,Weather Tracking and Alerts,air,0.001574675980135,0.157467598013486
11666,Weather Tracking and Alerts,realty,0.001574675980135,0.157467598013486
10888,Weather Tracking and Alerts,italy,0.001520840903891,0.152084090389093
9992,Weather Tracking and Alerts,center,0.001467005827646945,0.146700582764701
12409,Weather Tracking and Alerts,weatherford,0.001426629520464,0.142662952046406
12507,Weather Tracking and Alerts,yahoo,0.001426629520464,0.142662952046406
10212,Weather Tracking and Alerts,creek,0.001386253213281,0.138625321328111
12330,Weather Tracking and Alerts,vega,0.001386253213281,0.138625321328111
9958,Weather Tracking and Alerts,carolina,0.001359335675159,0.135933567515915
11892,Weather Tracking and Alerts,shutter,0.001359335675159,0.135933567515915
11275,Weather Tracking and Alerts,mountain,0.001345876906098,0.134587690609817
12020,Weather Tracking and Alerts,state,0.001332418137037,0.133241813703719
11669,Weather Tracking and Alerts,recipe,0.001305500598915,0.13055005989152302
11389,Weather Tracking and Alerts,ohio,0.001278583060793,0.127858306079326
10210,Weather Tracking and Alerts,cream,0.00123820675361,0.123820675361031
12356,Weather Tracking and Alerts,virginia,0.00123820675361,0.123820675361031
10782,Weather Tracking and Alerts,history,0.001224747984549,0.122474798454933
9674,Weather Tracking and Alerts,ash,0.00122474798454889,0.122474798454933
11083,Weather Tracking and Alerts,london,0.001197830446427,0.119783044642737
11349,Weather Tracking and Alerts,north,0.001197830446427,0.119783044642737
9931,Weather Tracking and Alerts,canada,0.001184371677365945,0.11843716773663901
10715,Weather Tracking and Alerts,hail,0.001143995370183,0.114399537018344
9966,Weather Tracking and Alerts,case,0.001130536601123,0.11305366011224699
11858,Weather Tracking and Alerts,service,0.0011305366011229998,0.11305366011224599
9933,Weather Tracking and Alerts,cancun,0.001130536601122,0.113053660112246
11084,Weather Tracking and Alerts,long,0.001130536601122,0.113053660112246
11217,Weather Tracking and Alerts,michigan,0.001130536601122,0.113053660112246
9823,Weather Tracking and Alerts,body,0.001117077832061,0.111707783206148
10152,Weather Tracking and Alerts,condition,0.0011036190630009084,0.11036190630005001
10824,Weather Tracking and Alerts,ice,0.001103619063,0.11036190630005
10297,Weather Tracking and Alerts,desert,0.00109016029394,0.109016029393952
10592,Weather Tracking and Alerts,free,0.001076701524879,0.107670152487853
11934,Weather Tracking and Alerts,snowboarding,0.001076701524879,0.107670152487853
12449,Weather Tracking and Alerts,white,0.001076701524879,0.107670152487853
11486,Weather Tracking and Alerts,photo,0.001049783986757,0.104978398675657
11989,Weather Tracking and Alerts,south,0.001049783986757,0.104978398675657
9563,Weather Tracking and Alerts,accu,0.001036325217696,0.103632521769559
11411,Weather Tracking and Alerts,orlando,0.001036325217696,0.103632521769559
9663,Weather Tracking and Alerts,arizona,0.001022866448635,0.102286644863461
10748,Weather Tracking and Alerts,hawaii,0.001009407679574,0.100940767957363
10793,Weather Tracking and Alerts,home,0.001009407679574,0.10094076795736301
11409,Weather Tracking and Alerts,oregon,0.001009407679574,0.100940767957363
12437,Weather Tracking and Alerts,west,0.001009407679574,0.100940767957363
9651,Weather Tracking and Alerts,april,0.000995948910513,0.099594891051264
10114,Weather Tracking and Alerts,coldstone,0.000995948910513,0.099594891051264
10772,Weather Tracking and Alerts,high,0.000995948910513,0.099594891051264
11817,Weather Tracking and Alerts,school,0.0009959489105128717,0.099594891051264
11558,Weather Tracking and Alerts,prediction,0.000982490141452,0.098249014145166
9636,Weather Tracking and Alerts,animal,0.00098249014145189,0.098249014145166
10805,Weather Tracking and Alerts,hot,0.000969031372391,0.096903137239068
11054,Weather Tracking and Alerts,light,0.0009690313723900001,0.09690313723906799
10129,Weather Tracking and Alerts,colorado,0.00095557260333,0.09555726033297
11442,Weather Tracking and Alerts,park,0.00095557260333,0.09555726033297
10338,Weather Tracking and Alerts,doe,0.000942113834269,0.094211383426872
10735,Weather Tracking and Alerts,harbor,0.000928655065208,0.092865506520774
10861,Weather Tracking and Alerts,intake,0.000928655065208,0.092865506520774
10875,Weather Tracking and Alerts,ireland,0.000915196296147,0.091519629614675
12469,Weather Tracking and Alerts,window,0.0009151962961459999,0.091519629614676
9555,Weather Tracking and Alerts,about,0.000901737527086,0.090173752708577
12388,Weather Tracking and Alerts,washington,0.000901737527086,0.090173752708577
12424,Weather Tracking and Alerts,weatherunderground,0.000901737527086,0.090173752708577
10938,Weather Tracking and Alerts,june,0.000888278758025,0.088827875802479
11779,Weather Tracking and Alerts,sale,0.0008882787580249999,0.088827875802479
9807,Weather Tracking and Alerts,blood,0.000874819988964,0.087481998896381
10199,Weather Tracking and Alerts,county,0.000874819988964,0.087481998896381
12147,Weather Tracking and Alerts,tennessee,0.000874819988964,0.087481998896381
9601,Weather Tracking and Alerts,alaska,0.000861361219903,0.086136121990283
9751,Weather Tracking and Alerts,bay,0.000861361219903,0.086136121990283
11176,Weather Tracking and Alerts,may,0.000861361219903,0.086136121990283
11832,Weather Tracking and Alerts,sean,0.000861361219903,0.086136121990283
10197,Weather Tracking and Alerts,country,0.000847902450842,0.084790245084185
10467,Weather Tracking and Alerts,fall,0.000834443681781,0.083444368178087
11457,Weather Tracking and Alerts,paul,0.000834443681781,0.083444368178086
11152,Weather Tracking and Alerts,marine,0.00082098491272,0.082098491271988
11215,Weather Tracking and Alerts,miami,0.00082098491272,0.082098491271988
11706,Weather Tracking and Alerts,resort,0.0008209849127199266,0.08209849127198901
10230,Weather Tracking and Alerts,current,0.000807526143659,0.08075261436589
10926,Weather Tracking and Alerts,john,0.0008075261436589084,0.08075261436589
10117,Weather Tracking and Alerts,coldwater,0.000794067374598,0.079406737459792
10241,Weather Tracking and Alerts,dallas,0.000780608605537,0.078060860553694
10572,Weather Tracking and Alerts,forest,0.0007806086055369084,0.078060860553694
9834,Weather Tracking and Alerts,boston,0.000767149836476,0.076714983647596
10667,Weather Tracking and Alerts,gone,0.000767149836476,0.076714983647596
10943,Weather Tracking and Alerts,kansa,0.000767149836476,0.076714983647596
11178,Weather Tracking and Alerts,mayweather,0.000767149836476,0.076714983647596
11293,Weather Tracking and Alerts,myrtle,0.000767149836476,0.076714983647596
11443,Weather Tracking and Alerts,part,0.000767149836476,0.076714983647596
9720,Weather Tracking and Alerts,bahamas,0.000753691067415,0.075369106741497
10833,Weather Tracking and Alerts,illinois,0.000753691067415,0.075369106741497
10629,Weather Tracking and Alerts,game,0.0007536910674149999,0.075369106741497
12493,Weather Tracking and Alerts,world,0.0007536910674149451,0.075369106741498
9795,Weather Tracking and Alerts,bird,0.0007536910674148901,0.07536910674149701
10453,Weather Tracking and Alerts,extended,0.000740232298354,0.074023229835399
11146,Weather Tracking and Alerts,march,0.000740232298354,0.074023229835399
11756,Weather Tracking and Alerts,rome,0.000740232298354,0.074023229835399
11947,Weather Tracking and Alerts,snowflake,0.000740232298354,0.074023229835399
12314,Weather Tracking and Alerts,utah,0.000740232298354,0.074023229835399
11098,Weather Tracking and Alerts,low,0.0007402322983539267,0.07402322983540001
9698,Weather Tracking and Alerts,australia,0.000726773529293,0.072677352929301
11329,Weather Tracking and Alerts,news,0.000726773529293,0.072677352929301
11433,Weather Tracking and Alerts,palm,0.0007267735292929267,0.07267735292930101
10086,Weather Tracking and Alerts,club,0.0007267735292929083,0.072677352929301
9731,Weather Tracking and Alerts,bank,0.000713314760232,0.071331476023203
11091,Weather Tracking and Alerts,los,0.000713314760232,0.071331476023203
11907,Weather Tracking and Alerts,ski,0.000713314760232,0.071331476023203
11455,Weather Tracking and Alerts,patrol,0.000699855991171,0.069985599117105
10167,Weather Tracking and Alerts,conversion,0.0006998559911709084,0.069985599117105
10809,Weather Tracking and Alerts,house,0.00068639722211,0.068639722211006
10873,Weather Tracking and Alerts,iowa,0.00068639722211,0.068639722211007
11952,Weather Tracking and Alerts,snowman,0.0006863972221099451,0.068639722211007
11298,Weather Tracking and Alerts,name,0.0006729384530490001,0.06729384530490899
9645,Weather Tracking and Alerts,antonio,0.000672938453049,0.067293845304908
9971,Weather Tracking and Alerts,cat,0.000672938453049,0.067293845304909
11323,Weather Tracking and Alerts,nevada,0.000672938453049,0.067293845304908
11381,Weather Tracking and Alerts,ocean,0.000672938453049,0.067293845304908
11422,Weather Tracking and Alerts,over,0.000672938453049,0.067293845304908
12344,Weather Tracking and Alerts,video,0.000672938453049,0.067293845304908
10656,Weather Tracking and Alerts,glass,0.0006729384530488901,0.06729384530490799
11665,Weather Tracking and Alerts,realtor,0.000659479683989,0.065947968398811
10853,Weather Tracking and Alerts,information,0.000659479683988,0.06594796839881
11441,Weather Tracking and Alerts,paris,0.000659479683988,0.06594796839881
11795,Weather Tracking and Alerts,santa,0.000659479683988,0.06594796839881
12193,Weather Tracking and Alerts,thunderstorm,0.000659479683988,0.06594796839881001
11735,Weather Tracking and Alerts,river,0.0006594796839879451,0.06594796839881101
10367,Weather Tracking and Alerts,drought,0.0006594796839878901,0.06594796839881
10387,Weather Tracking and Alerts,earth,0.000646020914928,0.06460209149271201
10088,Weather Tracking and Alerts,cnn,0.000646020914927,0.064602091492712
10399,Weather Tracking and Alerts,effect,0.000646020914927,0.064602091492712
10647,Weather Tracking and Alerts,georgia,0.000646020914927,0.064602091492712
10811,Weather Tracking and Alerts,houston,0.000646020914927,0.064602091492712
11646,Weather Tracking and Alerts,rainy,0.000646020914927,0.064602091492712
11739,Weather Tracking and Alerts,road,0.0006460209149268719,0.064602091492712
10379,Weather Tracking and Alerts,during,0.000632562145866,0.063256214586614
10604,Weather Tracking and Alerts,frostburg,0.000632562145866,0.063256214586614
11734,Weather Tracking and Alerts,rita,0.000632562145866,0.063256214586614
12156,Weather Tracking and Alerts,that,0.000632562145866,0.063256214586614
10459,Weather Tracking and Alerts,fact,0.000632562145865945,0.063256214586614
11652,Weather Tracking and Alerts,range,0.000632562145865945,0.063256214586614
10963,Weather Tracking and Alerts,kid,0.0006325621458659267,0.063256214586614
10609,Weather Tracking and Alerts,frosty,0.000619103376805,0.061910337680516
11163,Weather Tracking and Alerts,maryland,0.000619103376805,0.061910337680516
11592,Weather Tracking and Alerts,puerto,0.000619103376805,0.061910337680516
12027,Weather Tracking and Alerts,steel,0.000619103376805,0.061910337680516
10586,Weather Tracking and Alerts,france,0.0006191033768049266,0.061910337680516
11928,Weather Tracking and Alerts,snowbird,0.0006191033768049084,0.061910337680516
