,QUERY_ABOUT,LEMMATIZED_TOKEN,GROUP_SPECIFIC_TOKEN_PROBABILITY,GROUP_SPECIFIC_TOKEN_PERCENTAGE
918,Weather Tracking and Alerts,weather,0.167087329631499,16.7087329631499
732,Weather Tracking and Alerts,bug,0.033821302372539,3.38213023725391
749,Weather Tracking and Alerts,cold,0.029782937910146,2.9782937910146368
896,Weather Tracking and Alerts,temperature,0.026754164563352,2.675416456335184
798,Weather Tracking and Alerts,hurricane,0.026249369005552997,2.624936900555272
827,Weather Tracking and Alerts,merriweather,0.020696617869763,2.06966178697627
852,Weather Tracking and Alerts,post,0.020696617869763,2.06966178697627
846,Weather Tracking and Alerts,pavillion,0.020191822311964,2.01918223119637
779,Weather Tracking and Alerts,forecast,0.018677435638566,1.86774356385664
895,Weather Tracking and Alerts,storm,0.018172640080767,1.81726400807673
747,Weather Tracking and Alerts,climate,0.015648662291771,1.564866229177186
885,Weather Tracking and Alerts,snow,0.015143866733973,1.51438667339727
819,Weather Tracking and Alerts,lyric,0.013124684502776,1.31246845027764
898,Weather Tracking and Alerts,thailand,0.013124684502775999,1.312468450277637
753,Weather Tracking and Alerts,coldwell,0.010095911155982,1.00959111559818
845,Weather Tracking and Alerts,paul,0.009591115598183,0.959111559818274
876,Weather Tracking and Alerts,sean,0.009591115598183,0.959111559818274
762,Weather Tracking and Alerts,day,0.009086320040384,0.908632004038364
893,Weather Tracking and Alerts,stone,0.008076728924785,0.807672892478546
760,Weather Tracking and Alerts,creamery,0.007571933366986,0.757193336698637
859,Weather Tracking and Alerts,rainbow,0.007571933366986,0.757193336698637
764,Weather Tracking and Alerts,dominican,0.007067137809187,0.706713780918728
867,Weather Tracking and Alerts,republic,0.007067137809187,0.706713780918728
719,Weather Tracking and Alerts,banker,0.006562342251388,0.656234225138819
900,Weather Tracking and Alerts,thunderbeach,0.006057546693589,0.60575466935891
906,Weather Tracking and Alerts,tornado,0.006057546693588999,0.60575466935891
714,Weather Tracking and Alerts,atlanta,0.00555275113579,0.555275113579001
806,Weather Tracking and Alerts,katrina,0.00555275113579,0.555275113579001
849,Weather Tracking and Alerts,picture,0.00555275113579,0.555275113579001
854,Weather Tracking and Alerts,prediction,0.00555275113579,0.555275113579001
738,Weather Tracking and Alerts,casino,0.005047955577991,0.504795557799091
745,Weather Tracking and Alerts,city,0.005047955577991,0.504795557799092
888,Weather Tracking and Alerts,song,0.005047955577991,0.504795557799091
899,Weather Tracking and Alerts,thunder,0.005047955577991,0.504795557799091
903,Weather Tracking and Alerts,thundervalley,0.005047955577991,0.504795557799091
740,Weather Tracking and Alerts,change,0.004543160020192,0.454316002019182
741,Weather Tracking and Alerts,channel,0.004543160020192,0.454316002019182
758,Weather Tracking and Alerts,condition,0.004543160020192,0.454316002019182
765,Weather Tracking and Alerts,drought,0.004543160020192,0.454316002019182
776,Weather Tracking and Alerts,flower,0.004543160020192,0.454316002019182
